substudy,param_name,param_value,effect_key,X,Y,X_var,X_lag,Y_var,Y_lag,param_auto_coeff,param_cross_coeff,param_noise_sigma,param_n_vars,param_T,param_pc_alpha,param_tau_max,param_n_boot,param_seed,param_timestamp,true_effect,true_graph_effect,pcmci_effect,bagged_effect,true_graph_linreg_ci_lower,true_graph_linreg_ci_upper,pcmci_linreg_ci_lower,pcmci_linreg_ci_upper,bagged_linreg_ci_lower,bagged_linreg_ci_upper,bootstrap_linreg_ci_mean_width,bootstrap_linreg_ci_std_width,bootstrap_linreg_ci_min_width,bootstrap_linreg_ci_max_width,total_time,data_generation_time,discovery_pcmci_time,discovery_bootstrap_time,effect_true_effect_time,effect_true_graph_effect_time,effect_pcmci_effect_time,effect_bagged_effect_time,effect_bootstrap_effects_time,true_effect_time,true_graph_effect_time,pcmci_effect_time,bagged_effect_time,bootstrap_effects_time,bootstrap_mean,bootstrap_std,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_success_rate,bootstrap_n_total,bootstrap_n_nan,bootstrap_adj_mean_size,bootstrap_adj_std_size,bootstrap_adj_min_size,bootstrap_adj_max_size,bootstrap_unique_graphs,pcmci_adjustment_set_size,bagged_adjustment_set_size,true_graph_adjustment_set_size,pcmci_error,pcmci_abs_error,pcmci_squared_error,bagged_error,bagged_abs_error,bagged_squared_error,bootstrap_error,bootstrap_abs_error,bootstrap_squared_error,bootstrap_ci_covers_true,true_graph_linreg_ci_covers_true,pcmci_linreg_ci_covers_true,bagged_linreg_ci_covers_true,bootstrap_effects_count,bootstrap_replica_ci_lower_count,bootstrap_replica_ci_upper_count
cross_study,c,0.99,0_-2_to_3_0,"(0, -2)","(3, 0)",0,-2,3,0,0.5,0.99,1.0,4,500,0.05,4,200,,2025-04-03_19-03-45,1.970099687576294,2.005261631669349,2.0094716756969366,2.036925352165733,1.8653880616909646,2.145135201647733,1.8694431820388324,2.149500169355041,1.8814343590581006,2.1924163452733656,0.31040162868589427,0.01066380654630966,0.28005698731620843,0.3220385376545227,115.55307126045227,0.007218122482299805,0.15264654159545898,1.854222297668457,0.10725998878479004,0.49516797065734863,1.532874584197998,1.921273946762085,108.75922846794128,0.10725998878479004,0.49516797065734863,1.532874584197998,1.921273946762085,108.75922846794128,2.049629965779689,0.017724951203985366,2.043011360226383,2.056248571332995,0.15,200,170,1.365,3.3214115974988703,0,12,200,5,6,4,0.03937198812064269,0.03937198812064269,0.0015501534485720288,0.06682566458943917,0.06682566458943917,0.004465669447820225,0.07953027820339509,0.07953027820339509,0.00632506515110942,False,True,True,True,200,200,200
noise_study,sigmaN,0.1,0_-2_to_3_0,"(0, -2)","(3, 0)",0,-2,3,0,0.5,0.5,0.1,4,500,0.05,4,200,,2025-04-03_19-05-41,0.75,0.7723079866727653,0.7991881723736306,0.7991881723736306,0.6684531724705716,0.8761628008749591,0.681989784293379,0.9163865604538822,0.681989784293379,0.9163865604538822,0.233690307134515,0.006338952750302929,0.2152254294432916,0.23853371985548932,135.1046941280365,0.007590293884277344,0.13371753692626953,1.5724296569824219,0.12276363372802734,0.4930853843688965,1.7380752563476562,1.658043622970581,128.635333776474,0.12276363372802734,0.4930853843688965,1.7380752563476562,1.658043622970581,128.635333776474,0.803076049069969,0.004710278681002745,0.8013483049010643,0.8048037932388736,0.155,200,169,1.545,3.6603244391720247,0,13,200,6,6,4,0.0491881723736306,0.0491881723736306,0.002419476301457997,0.0491881723736306,0.0491881723736306,0.002419476301457997,0.05307604906996899,0.05307604906996899,0.002817066984877756,False,True,True,True,200,200,200
noise_study,sigmaN,0.2,0_-2_to_3_0,"(0, -2)","(3, 0)",0,-2,3,0,0.5,0.5,0.2,4,500,0.05,4,200,,2025-04-03_19-07-56,0.75,0.7723079866727657,0.799188172373631,0.799188172373631,0.6684531724705718,0.8761628008749596,0.6819897842933793,0.9163865604538828,0.6819897842933793,0.9163865604538828,0.2336528368740074,0.0065194071437994884,0.21388353094892332,0.2386001274807854,128.51682376861572,0.0028791427612304688,0.1441330909729004,1.600780963897705,0.11467194557189941,0.4995272159576416,1.648346185684204,1.6471359729766846,122.12253928184509,0.11467194557189941,0.4995272159576416,1.648346185684204,1.6471359729766846,122.12253928184509,0.8025755348402569,0.007596201959709109,0.7997892254665373,0.8053618442139765,0.155,200,169,1.46,3.482585246623548,0,15,200,6,6,4,0.049188172373631045,0.049188172373631045,0.0024194763014580402,0.049188172373631045,0.049188172373631045,0.0024194763014580402,0.0525755348402569,0.0525755348402569,0.002764186863739067,False,True,True,True,200,200,200
noise_study,sigmaN,0.3,0_-2_to_3_0,"(0, -2)","(3, 0)",0,-2,3,0,0.5,0.5,0.3,4,500,0.05,4,200,,2025-04-03_19-10-05,0.7499998807907104,0.7723079884329904,0.7991881749700316,0.7991881749700316,0.6684531746536289,0.876162802212352,0.6819897872506703,0.9163865626893929,0.6819897872506703,0.9163865626893929,0.23431492069718837,0.006853273822734231,0.20953529821033823,0.2385124194712147,102.76827192306519,0.0028510093688964844,0.13387417793273926,1.5994374752044678,0.10801815986633301,0.5099971294403076,1.6491575241088867,1.652442455291748,96.39321231842041,0.10801815986633301,0.5099971294403076,1.6491575241088867,1.652442455291748,96.39321231842041,0.8022421169130354,0.007856546968418223,0.7989245880836706,0.8055596457424001,0.12,200,176,1.14,3.159177108045701,0,12,200,6,6,4,0.049188294179321135,0.049188294179321135,0.0024194882842714376,0.049188294179321135,0.049188294179321135,0.0024194882842714376,0.052242236122324925,0.052242236122324925,0.002729251235060751,False,True,True,True,200,200,200
noise_study,sigmaN,0.4,0_-2_to_3_0,"(0, -2)","(3, 0)",0,-2,3,0,0.5,0.5,0.4,4,500,0.05,4,200,,2025-04-03_19-11-47,0.7500000596046448,0.7723079866727656,0.7991881723736302,0.7991881723736302,0.6684531724705717,0.8761628008749595,0.6819897842933785,0.9163865604538818,0.6819897842933785,0.9163865604538818,0.23288317288076008,0.006940177689471714,0.21746838482169806,0.23852163136305116,74.17494249343872,0.0027742385864257812,0.13457965850830078,1.5919573307037354,0.11406588554382324,0.4936494827270508,1.6673660278320312,1.6833348274230957,67.74757647514343,0.11406588554382324,0.4936494827270508,1.6673660278320312,1.6833348274230957,67.74757647514343,0.802686233342099,0.007164595867930255,0.7990025380584189,0.806369928625779,0.085,200,183,0.795,2.63874496683556,0,12,200,6,6,4,0.04918811276898538,0.04918811276898538,0.0024194704377744226,0.04918811276898538,0.04918811276898538,0.0024194704377744226,0.05268617373745421,0.05268617373745421,0.00277583290309321,False,True,True,True,200,200,200
noise_study,sigmaN,0.5,0_-2_to_3_0,"(0, -2)","(3, 0)",0,-2,3,0,0.5,0.5,0.5,4,500,0.05,4,200,,2025-04-03_19-13-02,0.7500000596046448,0.7723079887366725,0.7991881706903479,0.7991881706903479,0.6684531737100012,0.8761628037633438,0.6819897817498313,0.9163865596308645,0.6819897817498313,0.9163865596308645,0.23357569391237132,0.005951913123951851,0.21727739054089446,0.23781604174833415,113.07389807701111,0.002830982208251953,0.14477014541625977,1.6195194721221924,0.1017308235168457,0.49109816551208496,1.650712251663208,1.6510226726531982,106.67503571510315,0.1017308235168457,0.49109816551208496,1.650712251663208,1.6510226726531982,106.67503571510315,0.8030905209202972,0.00502518637755767,0.801179042250043,0.8050019995905514,0.145,200,171,1.28,3.16411124962445,0,12,200,6,6,4,0.04918811108570309,0.04918811108570309,0.0024194702721794673,0.04918811108570309,0.04918811108570309,0.0024194702721794673,0.053090461315652426,0.053090461315652426,0.002818597082708787,False,True,True,True,200,200,200
noise_study,sigmaN,0.6,0_-2_to_3_0,"(0, -2)","(3, 0)",0,-2,3,0,0.5,0.5,0.6,4,500,0.05,4,200,,2025-04-03_19-14-55,0.7499998807907104,0.7723079884329902,0.7991881749700316,0.7991881749700316,0.6684531746536286,0.8761628022123518,0.6819897872506703,0.9163865626893929,0.6819897872506703,0.9163865626893929,0.23135600828669983,0.00933099769021931,0.20912073486204652,0.2377865308336251,114.05387711524963,0.0032329559326171875,0.13735532760620117,1.5781714916229248,0.12128806114196777,0.4837520122528076,1.6631970405578613,1.6474473476409912,107.67858481407166,0.12128806114196777,0.4837520122528076,1.6631970405578613,1.6474473476409912,107.67858481407166,0.8023907058077906,0.009749348376026937,0.7986822520173243,0.8060991595982568,0.145,200,171,1.395,3.4552821881866613,0,12,200,6,6,4,0.049188294179321135,0.049188294179321135,0.0024194882842714376,0.049188294179321135,0.049188294179321135,0.0024194882842714376,0.052390825017080145,0.052390825017080145,0.0027447985459703107,False,True,True,True,200,200,200
noise_study,sigmaN,0.7,0_-2_to_3_0,"(0, -2)","(3, 0)",0,-2,3,0,0.5,0.5,0.7,4,500,0.05,4,200,,2025-04-03_19-16-49,0.7499999403953552,0.7723079774770534,0.7991881696706512,0.7991881696706512,0.66845316328712,0.8761627916669867,0.6819897811715814,0.916386558169721,0.6819897811715814,0.916386558169721,0.23428658157679425,0.006190044942972708,0.2143921409504137,0.238897766925539,154.9462354183197,0.007037639617919922,0.12827682495117188,1.6055543422698975,0.11702442169189453,0.48868393898010254,1.653289794921875,1.656362533569336,148.55170893669128,0.11702442169189453,0.48868393898010254,1.653289794921875,1.656362533569336,148.55170893669128,0.8024593532052382,0.0074503608038682285,0.800010480546722,0.8049082258637544,0.19,200,162,1.84,3.874841932259947,0,13,200,6,6,4,0.04918822927529598,0.04918822927529598,0.0024194818992390845,0.04918822927529598,0.04918822927529598,0.0024194818992390845,0.05245941280988298,0.05245941280988298,0.002751989992357714,False,True,True,True,200,200,200
noise_study,sigmaN,0.7999999999999999,0_-2_to_3_0,"(0, -2)","(3, 0)",0,-2,3,0,0.5,0.5,0.7999999999999999,4,500,0.05,4,200,,2025-04-03_19-19-24,0.7500001192092896,0.7723079866727655,0.7991881723736302,0.7991881723736302,0.6684531724705717,0.8761628008749592,0.6819897842933785,0.9163865604538818,0.6819897842933785,0.9163865604538818,0.233809020398778,0.005663522415997983,0.2181201889483213,0.23853652431336614,147.52306699752808,0.006938457489013672,0.13894295692443848,1.6405892372131348,0.11389660835266113,0.48464322090148926,1.6619036197662354,1.647512674331665,141.08872032165527,0.11389660835266113,0.48464322090148926,1.6619036197662354,1.647512674331665,141.08872032165527,0.8031599355122034,0.0050769282944145575,0.8014159496247923,0.8049039213996145,0.175,200,165,1.655,3.640875581505086,0,12,200,6,6,4,0.049188053164340606,0.049188053164340606,0.002419464574097998,0.049188053164340606,0.049188053164340606,0.002419464574097998,0.05315981630291389,0.05315981630291389,0.002825966069359549,False,True,True,True,200,200,200
noise_study,sigmaN,0.8999999999999999,0_-2_to_3_0,"(0, -2)","(3, 0)",0,-2,3,0,0.5,0.5,0.8999999999999999,4,500,0.05,4,200,,2025-04-03_19-21-51,0.7500001192092896,0.7723079958812786,0.7991881844013953,,0.6684531827184184,0.8761628090441389,0.6819897971829626,0.916386571619828,,,0.23152970522851177,0.008484979445393444,0.21056355372044244,0.23744632690349698,100.97396111488342,0.0028204917907714844,0.12952876091003418,1.5965089797973633,0.1169435977935791,0.4848334789276123,1.6669197082519531,0.00041937828063964844,96.23524498939514,0.1169435977935791,0.4848334789276123,1.6669197082519531,0.00041937828063964844,96.23524498939514,0.8019830143194533,0.008936641496427035,0.7982941500134011,0.8056718786255055,0.125,200,175,1.19,3.222405933460277,0,14,200,6,0,4,0.04918806519210572,0.04918806519210572,0.0024194657573428425,,,,0.05198289511016374,0.05198289511016374,0.002702221384034285,False,True,True,,200,200,200
