param_name,param_value,effect_key,true_effect,true_graph_effect,pcmci_effect,bagged_effect,bootstrap_mean,bootstrap_std,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_success_rate,true_effect_time,true_graph_effect_time,pcmci_effect_time,bagged_effect_time,bootstrap_effects_time,pcmci_error,pcmci_abs_error,pcmci_squared_error,bagged_error,bagged_abs_error,bagged_squared_error,bootstrap_error,bootstrap_abs_error,bootstrap_squared_error,ci_covers_true
cross,0.47421052631578947,0_-2_to_3_0,0.6990863680839539,0.6864290833473204,0.6865832805633545,0.6862938404083252,0.6847995601851364,0.0009858215132945946,0.6845403516317883,0.6850587687384846,0.29,0.1162562370300293,0.5322706699371338,2.582836627960205,1.3160817623138428,227.39452385902405,-0.012503087520599365,0.012503087520599365,0.00015632719754776758,-0.012792527675628662,0.012792527675628662,0.00016364876433172526,-0.014286807898817422,0.014286807898817422,0.0002041128799377119,False
cross,0.5257894736842105,0_-2_to_3_0,0.8022440671920776,0.7883623838424683,0.788626492023468,0.788626492023468,0.7876109236576518,0.0010812374634313073,0.7873340058851185,0.7878878414301852,0.305,0.1261918544769287,0.5380315780639648,2.586660623550415,1.651216983795166,247.6544017791748,-0.01361757516860962,0.01361757516860962,0.0001854383534727333,-0.01361757516860962,0.01361757516860962,0.0001854383534727333,-0.014633143534425797,0.014633143534425797,0.0002141288896991075,False
cross,0.5773684210526315,0_-2_to_3_0,0.9107226133346558,0.8954910635948181,0.895914554595947,0.8953998088836669,0.8958589686797216,0.001178971271548712,0.8955307409817082,0.896187196377735,0.26,0.1034548282623291,0.5312068462371826,2.5072314739227295,1.3619320392608643,217.68849754333496,-0.014808058738708718,0.014808058738708718,0.00021927860360904764,-0.01532280445098888,0.01532280445098888,0.00023478833624324466,-0.014863644654934172,0.014863644654934172,0.00022092793242815318,False
cross,0.6289473684210526,0_-2_to_3_0,1.0245221853256226,1.0078479051589966,1.0084738731384277,1.0084738731384277,1.0096525609493257,0.0016190063143676275,1.0092343272696847,1.0100707946289667,0.3,0.11939287185668945,0.5216512680053711,2.5281615257263184,2.5144808292388916,247.4019911289215,-0.016048312187194824,0.016048312187194824,0.0002575483240576659,-0.016048312187194824,0.016048312187194824,0.0002575483240576659,-0.014869624376296908,0.014869624376296908,0.00022110572909216322,False
cross,0.6805263157894736,0_-2_to_3_0,1.1436424255371094,1.1254698038101194,1.1263417005538943,1.1254292726516724,1.1279906034469604,0.0021171270511450664,1.1274483820321448,1.128532824861776,0.305,0.11605453491210938,0.5329749584197998,2.4868295192718506,1.267754077911377,245.49099159240723,-0.01730072498321511,0.01730072498321511,0.00029931508494484345,-0.01821315288543701,0.01821315288543701,0.00033171893802830255,-0.015651822090148926,0.015651822090148926,0.0002449795347416739,False
cross,0.7321052631578947,0_-2_to_3_0,1.2680833339691162,1.2484036684036257,1.2495491504669187,1.2483901977539062,1.2527475396792094,0.002497511638988357,1.2521023640097566,1.2533927153486621,0.3,0.10454368591308594,0.5395116806030273,2.532860040664673,1.8852508068084717,238.90600609779358,-0.018534183502197488,0.018534183502197488,0.00034351595809312954,-0.01969313621520996,0.01969313621520996,0.0003878196139908141,-0.015335794289906834,0.015335794289906834,0.00023518658650233907,False
cross,0.7836842105263158,0_-2_to_3_0,1.3978455066680908,1.376700758934021,1.3781331777572632,1.3781331777572632,1.3815344237444693,0.0030246612065785903,1.3807318731002551,1.3823369743886835,0.285,0.1047823429107666,0.5226898193359375,2.5698156356811523,1.6791620254516602,224.06240677833557,-0.019712328910827637,0.019712328910827637,0.0003885759110886511,-0.019712328910827637,0.019712328910827637,0.0003885759110886511,-0.01631108292362149,0.01631108292362149,0.00026605142614125656,False
cross,0.8352631578947368,0_-2_to_3_0,1.5329278707504272,1.5104134082794192,1.5121171474456785,1.5104601383209226,1.5172079196051946,0.003600650824431287,1.516301107437989,1.5181147317724002,0.315,0.11544108390808105,0.5291223526000977,2.5356955528259277,1.9492299556732178,260.80786085128784,-0.020810723304748757,0.020810723304748757,0.000433086204466813,-0.022467732429504617,0.022467732429504617,0.0005047990005238134,-0.015719951145232613,0.015719951145232613,0.00024711686400850013,False
cross,0.8868421052631579,0_-2_to_3_0,1.6733306646347046,1.649584412574768,1.6515245437622068,1.6496628522872925,1.6572609086831411,0.003670691499416362,1.6563126685194036,1.6582091488468786,0.3,0.11470794677734375,0.5248544216156006,2.481438636779785,1.8785464763641357,241.29355144500732,-0.02180612087249778,0.02180612087249778,0.0004755069075059834,-0.02366781234741211,0.02366781234741211,0.0005601653413123131,-0.016069755951563458,0.016069755951563458,0.0002582370563428092,False
cross,0.9384210526315789,0_-2_to_3_0,1.8190555572509766,1.7942522764205933,1.7963730096817017,1.7943624258041386,1.8038395806854846,0.004028889006236657,1.8027064373926418,1.8049727239783273,0.255,0.10375308990478516,0.6176249980926514,2.5051488876342773,1.2791554927825928,201.73513865470886,-0.022682547569274902,0.022682547569274902,0.0005144979642324188,-0.024693131446837935,0.024693131446837935,0.0006097507406508166,-0.015215976565492007,0.015215976565492007,0.00023152594284160191,False
