param_name,param_value,effect_key,true_effect,pcmci_effect,bagged_effect,bootstrap_mean,bootstrap_std,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_success_rate,true_effect_time,pcmci_effect_time,bagged_effect_time,bootstrap_effects_time,pcmci_error,pcmci_abs_error,pcmci_squared_error,bagged_error,bagged_abs_error,bagged_squared_error,bootstrap_error,bootstrap_abs_error,bootstrap_squared_error,ci_covers_true
cross,0.2,0_-2_to_3_0,0.3867737352848053,0.23976287245750427,,0.24130816299181718,0.020723585758886675,0.23293772555616143,0.24967860042747292,0.26,0.023080110549926758,4.828678846359253,0.00013303756713867188,183.68518948554993,-0.14701086282730103,0.14701086282730103,0.02161219378922752,,,,-0.14546557229298812,0.14546557229298812,0.021160232722526554,False
cross,0.30000000000000004,0_-2_to_3_0,0.001101326895877719,,,0.37678102652231854,0.011214701824088374,0.36816064359517536,0.3854014094494617,0.09,0.04491758346557617,0.00011539459228515625,0.0002865791320800781,65.95293641090393,,,,,,,0.3756796996264408,0.3756796996264408,0.1411352367114128,False
cross,0.4,0_-2_to_3_0,0.4681394100189209,0.5855416059494019,0.5850996971130371,0.5906210872862074,0.011114636541459859,0.5850939085674628,0.5961482660049521,0.18,0.04638838768005371,3.3329622745513916,3.0820834636688232,119.10161447525024,0.11740219593048096,0.11740219593048096,0.01378327560929904,0.11696028709411621,0.11696028709411621,0.013679708757138087,0.12248167726728654,0.12248167726728654,0.015001761266207735,False
cross,0.5,0_-2_to_3_0,0.4928726553916931,0.6872614026069642,0.6873669624328613,0.6832600017873253,0.0075564159542288595,0.6808749026142171,0.6856451009604334,0.41,0.02362823486328125,4.5838189125061035,3.913283109664917,290.0777904987335,0.1943887472152711,0.1943887472152711,0.03778698504392257,0.1944943070411682,0.1944943070411682,0.037828035471424215,0.19038734639563215,0.19038734639563215,0.036247341667570425,False
cross,0.6,0_-2_to_3_0,0.9793262481689453,0.9581708908081055,0.9581708908081055,0.9609885486689481,0.006183180487721612,0.9582470800219982,0.963730017315898,0.22,0.023107051849365234,3.046971082687378,3.0883517265319824,152.04025197029114,-0.021155357360839844,0.021155357360839844,0.00044754914506484056,-0.021155357360839844,0.021155357360839844,0.00044754914506484056,-0.018337699499997195,0.018337699499997195,0.0003362712229521974,False
cross,0.7000000000000001,0_-2_to_3_0,1.5189425945281982,1.2423063516616821,1.2217986583709717,1.2216377687454223,0.013817929289378335,1.215934007868417,1.2273415296224275,0.25,0.02312755584716797,3.0351345539093018,3.8414313793182373,182.45819115638733,-0.2766362428665161,0.2766362428665161,0.07652761086730209,-0.29714393615722656,0.29714393615722656,0.08829451879500994,-0.29730482578277595,0.29730482578277595,0.08839015943372676,False
cross,0.8,0_-2_to_3_0,3.4376797676086426,1.4141939878463745,1.4088484048843384,1.4041444808244705,0.01747404621364898,1.3967658382334616,1.4115231234154795,0.24,0.02292466163635254,3.4381017684936523,2.7399277687072754,156.56587839126587,-2.023485779762268,2.023485779762268,4.094494700900114,-2.028831362724304,2.028831362724304,4.116156698373757,-2.033535286784172,2.033535286784172,4.135265762596385,False
cross,0.9,0_-2_to_3_0,1.2401924133300781,1.7115191221237185,1.7115191221237185,1.7092328760359021,0.009159248072723076,1.7064811332806435,1.7119846187911607,0.45,0.023479223251342773,3.2639670372009277,3.2454018592834473,308.42533111572266,0.47132670879364036,0.47132670879364036,0.22214886642224507,0.47132670879364036,0.47132670879364036,0.22214886642224507,0.469040462705824,0.469040462705824,0.21999895565529348,False
noise,0.1,0_-2_to_3_0,0.7796882390975952,,,0.7552628896453164,0.006157905544817819,0.7511259524098962,0.7593998268807366,0.11,0.034381866455078125,0.00011873245239257812,0.00010800361633300781,78.80841565132141,,,,,,,-0.02442534945227881,0.02442534945227881,0.0005965976958659367,False
noise,0.3375,0_-2_to_3_0,0.7871280908584595,0.7470813989639281,0.7562793493270875,0.7464665313984485,0.011316252001268456,0.7431439553386389,0.7497891074582582,0.47,0.03917336463928223,4.752048015594482,3.5756514072418213,332.0223970413208,-0.04004669189453136,0.04004669189453136,0.0016037375316955238,-0.03084874153137196,0.03084874153137196,0.0009516448540693932,-0.04066155946001093,0.04066155946001093,0.0016533624177200044,False
noise,0.575,0_-2_to_3_0,1.2559239864349365,0.7573594450950624,0.7271656990051268,0.7328187251091003,0.011972072628635392,0.7294162997142756,0.736221150503925,0.5,0.022971630096435547,2.8211143016815186,2.3658604621887207,367.4402973651886,-0.49856454133987416,0.49856454133987416,0.2485666018814391,-0.5287582874298097,0.5287582874298097,0.2795853265257052,-0.5231052613258362,0.5231052613258362,0.2736391144267714,False
noise,0.8124999999999999,0_-2_to_3_0,0.9749246835708618,0.776741623878479,0.776741623878479,0.805212939607686,0.010870745700674362,0.8010779290875994,0.8093479501277726,0.29,0.02296733856201172,1.720599889755249,2.8044424057006836,210.101420879364,-0.1981830596923828,0.1981830596923828,0.03927652514903457,-0.1981830596923828,0.1981830596923828,0.03927652514903457,-0.1697117439631758,0.1697117439631758,0.028802076039022535,False
noise,1.05,0_-2_to_3_0,-0.4928995966911316,0.8881943225860592,0.8881943225860592,0.8755123127590526,0.015053191040832926,0.871442865185418,0.8795817603326872,0.55,0.02303624153137207,3.270488977432251,3.339017152786255,342.5647625923157,1.3810939192771907,1.3810939192771907,1.9074204138644313,1.3810939192771907,1.3810939192771907,1.9074204138644313,1.368411909450184,1.368411909450184,1.8725511539250987,False
noise,1.2875,0_-2_to_3_0,0.6319265961647034,0.7970028519630431,0.7970028519630431,0.8054947415987651,0.008542322866680125,0.803288025606673,0.8077014575908572,0.6,0.02293562889099121,4.155671119689941,3.49861478805542,438.3417546749115,0.16507625579833973,0.16507625579833973,0.02725017022839889,0.16507625579833973,0.16507625579833973,0.02725017022839889,0.17356814543406174,0.17356814543406174,0.030125901109419605,False
noise,1.525,0_-2_to_3_0,1.6432746648788452,0.6495687365531921,0.6495687365531921,0.6500897246438104,0.007573522407254441,0.6475645865533562,0.6526148627342646,0.37,0.023051738739013672,3.58483624458313,2.7389039993286133,228.2416594028473,-0.9937059283256531,0.9937059283256531,0.987451471989548,-0.9937059283256531,0.9937059283256531,0.987451471989548,-0.9931849402350348,0.9931849402350348,0.9864163255096696,False
noise,1.7625,0_-2_to_3_0,3.6540369987487793,,,0.8142009258270265,0.002651031004353577,0.8109092360707987,0.8174926155832544,0.05,0.023154258728027344,0.0001087188720703125,9.751319885253906e-05,29.1872296333313,,,,,,,-2.8398360729217527,2.8398360729217527,8.064668921067643,False
noise,2.0,0_-2_to_3_0,1.675231695175171,0.8035001158714294,0.8000447154045103,0.8031943428750131,0.009308998310911067,0.8005761449095781,0.8058125408404482,0.51,0.022974252700805664,2.7204270362854004,3.3828587532043457,324.29919052124023,-0.8717315793037415,0.8717315793037415,0.7599159463553953,-0.8751869797706606,0.8751869797706606,0.7659522495600908,-0.8720373523001578,0.8720373523001578,0.7604491438066695,False
